#ZVView-data-copy:   8-Nov-2020 23:41:31
#=======================================
#
#name:   ROSFOND-2010: CE-140(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  39182
#data...
#            X            Y
#          MeV        barns
    0.00254528      92.6335 
    0.00254528      92.2336 
    0.00254533      87.3787 
    0.00254536      84.7749 
    0.00254539      82.3526 
    0.00254543      77.8749 
    0.00254544      77.5558 
    0.00254549      73.1109 
    0.00254551      71.5305 
    0.00254554      68.9076 
    0.00254559      65.7173 
     0.0025456      64.3858 
    0.00254566      60.8082 
    0.00254566      60.4127 
    0.00254571      57.5155 
    0.00254574      55.5934 
    0.00254576      54.3737 
    0.00254579      52.2777 
    0.00254581      51.4548 
    0.00254585      49.2041 
    0.00254586       48.728 
    0.00254591      46.3588 
    0.00254591       46.183 
    0.00254596      43.8172 
    0.00254596      43.7302 
    0.00254601      41.6513 
    0.00254604      40.5377 
    0.00254606      39.6025 
    0.00254611      37.6707 
    0.00254618        35.55 
    0.00254619       35.103 
    0.00254624      33.6045 
    0.00254626       32.803 
     0.0025463      31.8212 
    0.00254634       30.743 
    0.00254636      30.1872 
    0.00254641      28.8983 
    0.00254642      28.6917 
    0.00254649      27.3374 
     0.0025465      27.0515 
    0.00254655      26.1053 
    0.00254658      25.4177 
    0.00254661      24.9649 
    0.00254667      23.9681 
    0.00254667      23.9104 
    0.00254674      22.9653 
    0.00254675      22.6805 
     0.0025468      22.0473 
    0.00254684      21.5322 
    0.00254687      21.1197 
    0.00254692      20.5046 
    0.00254695      20.2691 
    0.00254698      19.8789 
    0.00254702      19.5106 
    0.00254709      18.7921 
    0.00254709      18.7501 
    0.00254716      18.1563 
    0.00254721      17.7623 
    0.00254723      17.5543 
    0.00254731       16.999 
    0.00254732      16.8907 
     0.0025474      16.3285 
    0.00254743      16.1164 
     0.0025475      15.7171 
    0.00254755      15.4234 
    0.00254758      15.2563 
    0.00254767      14.7575 
     0.0025477      14.6047 
    0.00254776      14.3003 
    0.00254785       13.885 
    0.00254785      13.8649 
    0.00254797       13.346 
      0.002548      13.2467 
     0.0025481      12.8714 
    0.00254815      12.6757 
    0.00254822      12.4395 
    0.00254834      12.0319 
    0.00254837      11.9227 
    0.00254846      11.6583 
    0.00254853      11.4781 
     0.0025486      11.2767 
    0.00254871       10.976 
    0.00254875      10.8854 
     0.0025489      10.5248 
    0.00254905      10.2058 
    0.00254918      9.92769 
     0.0025492      9.89295 
    0.00254935      9.61608 
    0.00254947      9.40911 
    0.00254951      9.34826 
    0.00254966      9.10565 
    0.00254975       8.9545 
    0.00254983      8.84705 
    0.00255001      8.57934 
    0.00255003      8.55266 
     0.0025502      8.33787 
    0.00255032      8.19515 
    0.00255039      8.10952 
    0.00255058      7.89617 
     0.0025506      7.87488 
    0.00255077      7.70442 
    0.00255096      7.51555 
    0.00255098      7.49672 
    0.00255114       7.3472 
    0.00255135      7.16497 
    0.00255158      6.98886 
    0.00255173      6.87178 
     0.0025518      6.81942 
    0.00255203       6.6628 
    0.00255211      6.61071 
    0.00255226      6.51931 
    0.00255248      6.38257 
    0.00255267      6.26893 
    0.00255282      6.19049 
    0.00255305      6.07316 
    0.00255324      5.97563 
    0.00255335      5.92463 
    0.00255365      5.78901 
     0.0025538      5.72137 
    0.00255395      5.66192 
    0.00255425      5.54333 
    0.00255437      5.49895 
    0.00255456      5.43347 
    0.00255486      5.32892 
    0.00255493      5.30284 
    0.00255516      5.23432 
    0.00255546      5.14314 
    0.00255569       5.0749 
     0.0025558      5.04531 
    0.00255614      4.95673 
    0.00255644      4.87816 
    0.00255648      4.86956 
    0.00255682      4.79234 
    0.00255719      4.70673 
    0.00255733      4.68052 
    0.00255783      4.57971 
    0.00255806      4.53499 
    0.00255817      4.51562 
    0.00255866      4.43181 
    0.00255904      4.36747 
    0.00255915      4.35073 
    0.00255964      4.27832 
    0.00256002      4.22272 
    0.00256013      4.20854 
    0.00256062       4.1472 
    0.00256111      4.08596 
    0.00256149      4.03893 
     0.0025616      4.02697 
    0.00256209      3.97522 
    0.00256262      3.91958 
     0.0025627      3.91164 
    0.00256315      3.87148 
    0.00256368      3.82469 
     0.0025642      3.77797 
     0.0025645      3.75131 
    0.00256499      3.71547 
    0.00256579      3.65768 
    0.00256631      3.61921 
    0.00256701      3.57752 
    0.00256771      3.53588 
    0.00256841       3.4943 
    0.00256869      3.47747 
     0.0025691      3.45733 
     0.0025698       3.4235 
     0.0025705      3.38971 
    0.00257106      3.36235 
    0.00257154      3.34313 
    0.00257235      3.31078 
    0.00257328      3.27396 
    0.00257361      3.26083 
     0.0025742       3.2413 
    0.00257512      3.21097 
    0.00257605      3.18066 
    0.00257649      3.16614 
    0.00257697      3.15342 
    0.00257789        3.129 
    0.00257882       3.1046 
    0.00257975      3.07998 
    0.00258033      3.06457 
    0.00258116      3.04702 
    0.00258258      3.01714 
    0.00258399       2.9873 
    0.00258418      2.98332 
     0.0025854        2.963 
    0.00258682      2.93958 
    0.00258817      2.91711 
    0.00258953      2.89466 
    0.00258983      2.88967 
    0.00259089      2.87609 
    0.00259224      2.85863 
    0.00259405      2.83538 
    0.00259526      2.81989 
    0.00259586      2.81386 
    0.00259767      2.79577 
    0.00259948       2.7777 
    0.00260129      2.75964 
    0.00260249       2.7476 
     0.0026031      2.74293 
    0.00260491      2.72893 
    0.00260672      2.71494 
    0.00260852      2.70096 
    0.00260973      2.69165 
    0.00261041      2.68767 
     0.0026123      2.67667 
    0.00261419      2.66568 
    0.00261608      2.65469 
    0.00261893      2.63808 
    0.00262141       2.6237 
    0.00262179      2.62207 
    0.00262369      2.61392 
    0.00262603      2.60391 
    0.00262836      2.59392 
     0.0026307      2.58392 
    0.00263304      2.57393 
    0.00263658      2.56253 
    0.00264013      2.55113 
    0.00264367      2.53974 
    0.00264721      2.52835 
    0.00265076      2.52021 
    0.00265414      2.51246 
    0.00265744      2.50489 
    0.00266074      2.49732 
    0.00266513      2.48724 
    0.00266953      2.47716 
    0.00267401      2.47012 
    0.00267849      2.46308 
    0.00268314      2.45579 
    0.00268779       2.4485 
    0.00269244      2.44121 
    0.00269708      2.43393 
    0.00270191      2.42891 
    0.00270673       2.4239 
    0.00271164      2.41879 
    0.00271983      2.41029 
    0.00272638      2.40349 
    0.00273293      2.39669 
    0.00273948      2.38989 
    0.00274603      2.38552 
    0.00275206       2.3815 
    0.00275809      2.37749 
    0.00276636      2.37198 
    0.00277462      2.36647 
    0.00278289      2.36097 
    0.00279115      2.35546 
     0.0027973      2.35137 
    0.00280037      2.35006 
    0.00281023      2.34587 
     0.0028204      2.34154 
    0.00283058      2.33721 
    0.00284075      2.33288 
    0.00285093      2.32855 
     0.0028628       2.3235 
    0.00287806      2.31701 
    0.00288485      2.31413 
    0.00289163      2.31229 
     0.0029052       2.3086 
    0.00292027      2.30451 
    0.00293535      2.30041 
    0.00295043      2.29632 
     0.0029655      2.29223 
    0.00298057      2.28813 
    0.00299565      2.28404 
    0.00301073      2.27995 
    0.00303334      2.27381 
    0.00305595       2.2697 
    0.00307856      2.26559 
    0.00310117      2.26148 
    0.00311625      2.25874 
     0.0031464      2.25326 
    0.00318221      2.24675 
    0.00321802      2.24024 
    0.00325384      2.23373 
    0.00328965      2.22722 
    0.00330755      2.22397 
    0.00332546      2.22144 
    0.00336127      2.21638 
    0.00341499      2.20879 
    0.00346871       2.2012 
    0.00350452      2.19614 
    0.00357614      2.18602 
    0.00364777       2.1759 
    0.00371939      2.16578 
    0.00381776      2.15188 
     0.0039257      2.13663 
    0.00403414      2.12131 
    0.00414913      2.10507 
    0.00429238      2.08483 
    0.00446692      2.06017 
    0.00461118      2.03979 
    0.00472212      2.02412 
    0.00489056      1.99581 
    0.00500665      1.97629 
