# E (eV),Tr beamline
165.751644,0.927877
166.021651,0.927171
166.291657,0.926181
166.561664,0.908584
166.831671,0.833646
167.101678,0.798127
167.371684,0.785638
167.641691,0.786148
167.911698,0.795401
168.181705,0.816805
168.451711,0.853193
168.721718,0.852038
168.991725,0.819655
169.261732,0.808533
169.531738,0.788475
169.801745,0.761813
170.071752,0.762442
170.341759,0.772207
170.611765,0.805561
170.881772,0.819903
171.151779,0.846285
171.421786,0.874427
171.691792,0.881777
171.961799,0.893503
172.231806,0.902040
172.501813,0.904925
172.771819,0.911725
173.041826,0.914207
173.311833,0.913903
173.581840,0.914725
173.851846,0.910890
174.121853,0.903294
174.391860,0.890500
174.661867,0.863019
174.931873,0.804800
175.201880,0.749787
175.471887,0.720251
175.741894,0.660754
176.011900,0.622075
176.281907,0.601972
176.551914,0.565154
176.821921,0.538269
177.091927,0.526161
177.361934,0.502875
177.631941,0.488988
177.901948,0.481153
178.171954,0.446529
178.441961,0.444944
178.711968,0.437732
178.981975,0.400344
179.251981,0.387054
179.521988,0.420082
179.791995,0.436736
180.062002,0.443306
180.332008,0.506445
180.602015,0.549563
180.872022,0.573722
181.142029,0.623192
181.412035,0.645388
181.682042,0.657395
181.952049,0.692544
182.222056,0.701249
182.492062,0.702675
182.762069,0.735353
183.032076,0.743596
183.302083,0.732323
183.572089,0.757302
183.842096,0.778864
184.112103,0.775357
184.382110,0.791332
184.652116,0.809718
184.922123,0.812318
185.192130,0.822663
185.462137,0.829535
185.732143,0.822544
186.002150,0.823405
186.272157,0.822417
186.542164,0.817270
186.812170,0.828567
187.082177,0.839370
187.352184,0.841889
187.622191,0.854610
187.892197,0.867207
188.162204,0.871471
188.432211,0.876984
188.702218,0.878080
188.972224,0.880517
189.242231,0.886542
189.512238,0.881025
189.782245,0.873567
190.052251,0.874207
190.322258,0.881081
190.592265,0.885574
190.862272,0.886177
191.132278,0.894368
191.402285,0.904107
191.672292,0.906573
191.942299,0.909952
192.212305,0.913059
192.482312,0.908366
192.752319,0.908310
